"Site.name","SiteNum","U_depth","L_depth","mid_point","BD_final","OC_final","CD_calc"
"RC99 S3","M0019",0.16,0.18,0.17,0.17,26.4,0.044
"RC99 S3","M0019",0.18,0.2,0.19,0.25,27.05,0.067
"RC99 S3","M0019",0.2,0.22,0.21,0.18,27.97,0.05
"RC99 S3","M0019",0.22,0.24,0.23,0.21,26.41,0.056
"RC99 S3","M0019",0.24,0.26,0.25,0.25,26.85,0.067
"RC99 S3","M0019",0.26,0.28,0.27,0.23,27.09,0.063
"RC99 S3","M0019",0.28,0.3,0.29,0.23,27.99,0.064
"RC99 S3","M0019",0.3,0.32,0.31,0.23,26.9,0.061
"RC99 S3","M0019",0.32,0.34,0.33,0.23,27.93,0.065
"RC99 S3","M0019",0.34,0.36,0.35,0.24,28.76,0.068
"RC99 S3","M0019",0.36,0.38,0.37,0.24,28.49,0.068
"RC99 S3","M0019",0.38,0.4,0.39,0.23,28.69,0.065
"RC99 S3","M0019",0.4,0.42,0.41,0.25,28.78,0.073
"RC99 S3","M0019",0.42,0.44,0.43,0.23,28.62,0.067
"RC99 S3","M0019",0.44,0.46,0.45,0.23,28.81,0.065
"RC99 S3","M0019",0.46,0.48,0.47,0.24,28.71,0.069
"RC99 S3","M0019",0.48,0.5,0.49,0.27,27.85,0.076
"RC99 S3","M0019",0.5,0.52,0.51,0.24,29.13,0.069
"RC99 S3","M0019",0.52,0.54,0.53,0.25,29.13,0.073
"RC99 S3","M0019",0.54,0.56,0.55,0.25,29.52,0.073
"RC99 S3","M0019",0.56,0.58,0.57,0.22,27.56,0.061
"RC99 S3","M0019",0.58,0.6,0.59,0.18,28.45,0.051
"RC99 S4","M0020",0,0.02,0.01,0.13,18.23,0.023
"RC99 S4","M0020",0.02,0.04,0.03,0.15,17.45,0.027
"RC99 S4","M0020",0.04,0.06,0.05,0.16,18.19,0.028
"RC99 S4","M0020",0.06,0.08,0.07,0.14,19.53,0.028
"RC99 S4","M0020",0.08,0.1,0.09,0.14,19.82,0.028
"RC99 S4","M0020",0.1,0.12,0.11,0.16,19.34,0.031
"RC99 S4","M0020",0.12,0.14,0.13,0.18,19.16,0.035
"RC99 S4","M0020",0.14,0.16,0.15,0.18,19.22,0.035
"RC99 S4","M0020",0.16,0.18,0.17,0.18,19.47,0.035
"RC99 S4","M0020",0.18,0.2,0.19,0.21,19.34,0.041
"RC99 S4","M0020",0.2,0.22,0.21,0.2,19.5,0.039
"RC99 S4","M0020",0.22,0.24,0.23,0.19,19.9,0.037
"RC99 S4","M0020",0.24,0.26,0.25,0.22,20,0.043
"RC99 S4","M0020",0.26,0.28,0.27,0.18,20.28,0.037
"RC99 S4","M0020",0.28,0.3,0.29,0.2,20.68,0.042
"RC99 S4","M0020",0.3,0.32,0.31,0.21,20.38,0.044
"RC99 S4","M0020",0.32,0.34,0.33,0.2,19.81,0.04
"RC99 S4","M0020",0.34,0.36,0.35,0.21,19.47,0.042
"RC99 S4","M0020",0.36,0.38,0.37,0.22,19.6,0.044
"RC99 S4","M0020",0.38,0.4,0.39,0.22,20.9,0.045
"RC99 S4","M0020",0.4,0.42,0.41,0.22,19.65,0.043
"RC99 S4","M0020",0.42,0.44,0.43,0.2,18.51,0.038
"RC99 S4","M0020",0.44,0.46,0.45,0.2,17.53,0.034
"RC99 S4","M0020",0.46,0.48,0.47,0.2,16.16,0.032
"RC99 S4","M0020",0.48,0.5,0.49,0.21,16.64,0.035
"RC99 S4","M0020",0.5,0.52,0.51,0.18,16.76,0.031
"RC99 S4","M0020",0.52,0.54,0.53,0.22,17.11,0.037
"RC99 S4","M0020",0.54,0.56,0.55,0.24,17.41,0.041
"RC99 S4","M0020",0.56,0.58,0.57,0.2,15.71,0.032
"RC99 S4","M0020",0.58,0.6,0.59,0.12,15.64,0.019
"RC99 S6","M0021",0,0.02,0.01,0.51,9.25,0.048
"RC99 S6","M0021",0.02,0.04,0.03,0.51,9.34,0.048
"RC99 S6","M0021",0.04,0.06,0.05,0.51,9.51,0.048
"RC99 S6","M0021",0.06,0.08,0.07,0.48,10.39,0.05
"RC99 S6","M0021",0.08,0.1,0.09,0.46,10.97,0.051
"RC99 S6","M0021",0.1,0.12,0.11,0.46,10.87,0.05
"RC99 S6","M0021",0.12,0.14,0.13,0.47,10.68,0.05
"RC99 S6","M0021",0.14,0.16,0.15,0.48,10.23,0.049
"RC99 S6","M0021",0.16,0.18,0.17,0.5,9.65,0.048
"RC99 S6","M0021",0.18,0.2,0.19,0.49,10.1,0.049
