"Site.name","SiteNum","U_depth","L_depth","mid_point","BD_final","OC_final","CD_calc"
"JBK16 Gallego","M0383",0.15,0.3,0.225,0.53,7.78,0.041
"JBK16 Gallego","M0383",0.3,0.5,0.4,0.59,6.62,0.039
"JBK16 Gallego","M0383",0.5,1,0.75,0.59,6.03,0.036
"JBK16 Gallego","M0383",1,3,2,0.97,2.28,0.022
"MNIK07 Site 1","M0384",0,0.05,0.025,1.62,0,0.02
"MNIK07 Site 1","M0384",0.05,0.1,0.075,1.62,0,0.022
"MNIK07 Site 1","M0384",0.1,0.15,0.125,1.62,0,0.024
"MNIK07 Site 1","M0384",0.15,0.2,0.175,1.62,0,0.023
"MNIK07 Site 1","M0384",0.2,0.25,0.225,1.62,0,0.014
"MNIK07 Site 1","M0384",0.25,0.3,0.275,1.62,0,0.001
"MNIK07 Site 1","M0384",0.3,0.35,0.325,1.62,0,0.001
"MNIK07 Site 1","M0384",0.35,0.4,0.375,1.62,0,0.002
"MNIK07 Site 1","M0384",0.4,0.45,0.425,1.62,0,0.001
"MNIK07 Site 1","M0384",0.45,0.55,0.5,1.62,0,0.001
"MNIK07 Site 1","M0384",0.55,0.65,0.6,1.62,0,0.001
"MNIK07 Site 1","M0384",0.65,0.75,0.7,1.62,0,0.001
"MNIK07 Site 1","M0384",0.75,0.85,0.8,1.62,0,0.001
"MNIK07 Site 1","M0384",0.85,1,0.925,1.62,0,0.001
"CJS10 EES C3A","M0385",0,0.01,0.005,0.37,6.5,0.024
"CJS10 EES C3A","M0385",0.01,0.02,0.015,0.41,6.5,0.027
"CJS10 EES C3A","M0385",0.02,0.03,0.025,0.38,7.5,0.029
"CJS10 EES C3A","M0385",0.03,0.04,0.035,0.37,7.5,0.028
"CJS10 EES C3A","M0385",0.04,0.05,0.045,0.42,6.27,0.026
"CJS10 EES C3A","M0385",0.05,0.06,0.055,0.41,6.27,0.026
"CJS10 EES C3A","M0385",0.06,0.07,0.065,0.4,6.2,0.025
"CJS10 EES C3A","M0385",0.07,0.08,0.075,0.46,6.2,0.029
"CJS10 EES C3A","M0385",0.08,0.09,0.085,0.44,5.65,0.025
"CJS10 EES C3A","M0385",0.09,0.1,0.095,0.48,5.65,0.027
"CJS10 EES C3A","M0385",0.1,0.12,0.11,0.45,7.07,0.032
"CJS10 EES C3A","M0385",0.12,0.14,0.13,0.48,7.07,0.034
"CJS10 EES C3A","M0385",0.14,0.16,0.15,0.58,4.31,0.025
"CJS10 EES C3A","M0385",0.16,0.18,0.17,0.58,4.31,0.025
"CJS10 EES C3A","M0385",0.18,0.2,0.19,0.54,6.61,0.036
"CJS10 EES C3A","M0385",0.2,0.22,0.21,0.52,6.61,0.034
"CJS10 EES C3A","M0385",0.22,0.24,0.23,0.52,6.02,0.031
"CJS10 EES C3A","M0385",0.24,0.26,0.25,0.57,6.02,0.034
"CJS10 EES C3A","M0385",0.26,0.28,0.27,0.58,5.56,0.032
"CJS10 EES C3A","M0385",0.28,0.3,0.29,0.64,5.56,0.036
"CJS10 EES C3A","M0385",0.3,0.32,0.31,0.62,4.95,0.031
"CJS10 EES C3A","M0385",0.32,0.34,0.33,0.62,4.5,0.028
"CJS10 EES C3A","M0385",0.34,0.36,0.35,0.73,4.73,0.035
"CJS10 EES C3A","M0385",0.36,0.38,0.37,0.84,4.73,0.04
"CJS10 EES C3A","M0385",0.38,0.4,0.39,0.78,4.24,0.033
"CJS10 EES C3A","M0385",0.4,0.42,0.41,0.64,4.24,0.027
"CJS10 EES C3A","M0385",0.42,0.44,0.43,0.64,4.24,0.027
"CJS10 EES C3B","M0386",0,0.01,0.005,0.47,6.44,0.03
"CJS10 EES C3B","M0386",0.01,0.02,0.015,0.49,6.44,0.032
"CJS10 EES C3B","M0386",0.02,0.03,0.025,0.43,7.49,0.032
"CJS10 EES C3B","M0386",0.03,0.04,0.035,0.42,7.49,0.031
"CJS10 EES C3B","M0386",0.04,0.05,0.045,0.41,7.05,0.029
"CJS10 EES C3B","M0386",0.05,0.06,0.055,0.37,7.05,0.026
"CJS10 EES C3B","M0386",0.06,0.07,0.065,0.39,7.17,0.028
"CJS10 EES C3B","M0386",0.07,0.08,0.075,0.46,7.17,0.033
"CJS10 EES C3B","M0386",0.08,0.09,0.085,0.44,5.77,0.025
"CJS10 EES C3B","M0386",0.09,0.1,0.095,0.51,5.77,0.029
"CJS10 EES C3B","M0386",0.1,0.12,0.11,0.58,5.44,0.032
"CJS10 EES C3B","M0386",0.12,0.14,0.13,0.61,5.44,0.033
"CJS10 EES C3B","M0386",0.14,0.16,0.15,0.74,3.39,0.025
"CJS10 EES C3B","M0386",0.16,0.18,0.17,0.75,3.39,0.025
"CJS10 EES C3B","M0386",0.18,0.2,0.19,0.75,2.96,0.022
"CJS10 EES C3B","M0386",0.2,0.22,0.21,0.79,2.96,0.023
"CJS10 EES C3B","M0386",0.22,0.24,0.23,0.77,4,0.031
"CJS10 EES C3B","M0386",0.24,0.26,0.25,0.78,4,0.031
"CJS10 EES C3B","M0386",0.26,0.28,0.27,0.77,2.8,0.022
"CJS10 EES C3B","M0386",0.28,0.3,0.29,0.76,2.8,0.021
"CJS10 EES C3B","M0386",0.3,0.32,0.31,0.73,2.92,0.021
"CJS10 EES C3B","M0386",0.32,0.34,0.33,0.73,2.92,0.021
"CJS10 EES C3B","M0386",0.34,0.36,0.35,0.83,2.62,0.022
"CJS10 EES C3B","M0386",0.36,0.38,0.37,0.85,2.62,0.022
"CJS10 EES C3B","M0386",0.38,0.4,0.39,0.7,1.81,0.013
"CJS10 EES C3B","M0386",0.4,0.42,0.41,0.89,1.81,0.016
"CJS10 EES C3B","M0386",0.42,0.44,0.43,0.99,1.81,0.018
"SCS16 Natural","M0387",0,0.3,0.15,1.62,0,0.02
"SCS16 Plantation","M0388",0,0.3,0.15,1.62,0,0.018
"GW13 B. gymnorrhiz","M0389",0,0.1,0.05,0.75,3.76,0.028
"GW13 B. gymnorrhiz","M0389",0.1,0.2,0.15,0.84,2.6,0.022
"GW13 B. gymnorrhiz","M0389",0.2,0.3,0.25,0.93,1.84,0.017
"GW13 B. gymnorrhiz","M0389",0.3,0.4,0.35,1,1.47,0.015
"GW13 B. gymnorrhiz","M0389",0.4,0.5,0.45,0.9,2.12,0.019
"GW13 B. gymnorrhiz","M0389",0.5,0.7,0.6,0.75,3.78,0.028
"GW13 B. gymnorrhiz","M0389",0.7,1,0.85,0.76,3.72,0.028
"GW13 A. corniculatum + K. Obovata","M0390",0,0.1,0.05,0.75,3.82,0.029
"GW13 A. corniculatum + K. Obovata","M0390",0.1,0.2,0.15,0.77,3.56,0.027
"GW13 A. corniculatum + K. Obovata","M0390",0.2,0.3,0.25,0.8,3.09,0.025
"GW13 A. corniculatum + K. Obovata","M0390",0.3,0.4,0.35,0.83,2.76,0.023
"GW13 A. corniculatum + K. Obovata","M0390",0.4,0.5,0.45,0.8,3.06,0.025
"GW13 A. corniculatum + K. Obovata","M0390",0.5,0.7,0.6,0.85,2.5,0.021
"GW13 A. corniculatum + K. Obovata","M0390",0.7,1,0.85,0.78,3.34,0.026
"GW13 S. apetala","M0391",0,0.1,0.05,0.74,3.9,0.029
"GW13 S. apetala","M0391",0.1,0.2,0.15,0.9,2.12,0.019
"GW13 S. apetala","M0391",0.2,0.3,0.25,0.94,1.83,0.017
"GW13 S. apetala","M0391",0.3,0.4,0.35,0.91,1.99,0.018
"GW13 S. apetala","M0391",0.4,0.5,0.45,0.97,1.61,0.016
"GW13 S. apetala","M0391",0.5,0.7,0.6,0.96,1.7,0.016
"GW13 S. apetala","M0391",0.7,1,0.85,1.03,1.31,0.014
"GW13 R. stylosa","M0392",0,0.1,0.05,0.67,5.24,0.035
"GW13 R. stylosa","M0392",0.1,0.2,0.15,0.69,4.88,0.034
"GW13 R. stylosa","M0392",0.2,0.3,0.25,0.68,5.11,0.035
"GW13 R. stylosa","M0392",0.3,0.4,0.35,0.72,4.32,0.031
"GW13 R. stylosa","M0392",0.4,0.5,0.45,0.73,4.09,0.03
"GW13 R. stylosa","M0392",0.5,0.7,0.6,0.78,3.29,0.026
"GW13 R. stylosa","M0392",0.7,1,0.85,0.76,3.63,0.028
"GW13 A. marina","M0393",0,0.1,0.05,0.91,1.99,0.018
"GW13 A. marina","M0393",0.1,0.2,0.15,0.96,1.71,0.016
"GW13 A. marina","M0393",0.2,0.3,0.25,1.02,1.4,0.014
"GW13 A. marina","M0393",0.3,0.4,0.35,1.03,1.34,0.014
"GW13 A. marina","M0393",0.4,0.5,0.45,0.96,1.7,0.016
"GW13 A. marina","M0393",0.5,0.7,0.6,0.86,2.43,0.021
"GW13 A. marina","M0393",0.7,1,0.85,0.83,2.76,0.023
"NTT14 Fringe","M0394",0,0.05,0.025,0.75,2.2,0.016
"NTT14 Fringe","M0394",0.05,0.1,0.075,0.75,2.21,0.017
"NTT14 Fringe","M0394",0.1,0.15,0.125,0.75,2.19,0.016
"NTT14 Fringe","M0394",0.15,0.2,0.175,0.77,1.88,0.014
"NTT14 Fringe","M0394",0.2,0.25,0.225,0.77,2.11,0.016
"NTT14 Fringe","M0394",0.25,0.3,0.275,0.77,2.04,0.016
"NTT14 Fringe","M0394",0.3,0.35,0.325,0.78,1.94,0.015
"NTT14 Fringe","M0394",0.35,0.4,0.375,0.78,2.28,0.018
"NTT14 Fringe","M0394",0.4,0.45,0.425,0.78,2.28,0.018
"NTT14 Fringe","M0394",0.45,0.5,0.475,0.78,1.76,0.014
"NTT14 Fringe","M0394",0.5,0.6,0.55,0.85,2.07,0.018
"NTT14 Fringe","M0394",0.6,0.7,0.65,0.85,1.87,0.016
"NTT14 Fringe","M0394",0.7,0.8,0.75,0.85,1.56,0.013
"NTT14 Fringe","M0394",0.8,0.9,0.85,0.85,1.51,0.013
"NTT14 Fringe","M0394",0.9,1,0.95,0.85,1.32,0.011
"NTT14 Fringe","M0394",1,1.15,1.075,0.99,1.31,0.013
"NTT14 Fringe","M0394",1.15,1.3,1.225,0.99,1.56,0.015
"NTT14 Fringe","M0394",1.3,1.45,1.375,0.99,1.45,0.014
"NTT14 Fringe","M0394",1.45,1.6,1.525,0.99,1.53,0.015
"NTT14 Fringe","M0394",1.6,1.75,1.675,0.99,1.5,0.015
"NTT14 Fringe","M0394",1.75,1.9,1.825,0.99,1.43,0.014
"NTT14 Fringe","M0394",1.9,2.05,1.975,0.99,1.41,0.014
"NTT14 Fringe","M0394",2.05,2.2,2.125,0.99,1.37,0.014
"NTT14 Fringe","M0394",2.2,2.35,2.275,0.99,1.36,0.013
"NTT14 Fringe","M0394",2.35,2.5,2.425,0.99,1.54,0.015
"NTT14 Fringe","M0394",2.5,4,3.25,1.02,1.4,0.014
"NTT14 Transitional","M0395",0,0.05,0.025,0.61,2.94,0.018
"NTT14 Transitional","M0395",0.05,0.1,0.075,0.61,3.16,0.019
"NTT14 Transitional","M0395",0.1,0.15,0.125,0.61,3.57,0.022
"NTT14 Transitional","M0395",0.15,0.2,0.175,0.66,3.31,0.022
"NTT14 Transitional","M0395",0.2,0.25,0.225,0.66,2.62,0.017
"NTT14 Transitional","M0395",0.25,0.3,0.275,0.66,2.71,0.018
"NTT14 Transitional","M0395",0.3,0.35,0.325,0.62,3.72,0.023
"NTT14 Transitional","M0395",0.35,0.4,0.375,0.62,2.63,0.016
"NTT14 Transitional","M0395",0.4,0.45,0.425,0.88,2.22,0.02
"NTT14 Transitional","M0395",0.45,0.5,0.475,0.62,2.45,0.015
"NTT14 Transitional","M0395",0.5,0.6,0.55,0.77,2.34,0.018
"NTT14 Transitional","M0395",0.6,0.7,0.65,0.77,1.95,0.015
"NTT14 Transitional","M0395",0.7,0.8,0.75,0.77,2.02,0.016
"NTT14 Transitional","M0395",0.8,0.9,0.85,0.77,1.64,0.013
"NTT14 Transitional","M0395",0.9,1,0.95,0.77,1.72,0.013
"NTT14 Transitional","M0395",1,1.15,1.075,1.08,1.62,0.017
"NTT14 Transitional","M0395",1.15,1.3,1.225,1.08,1.45,0.016
"NTT14 Transitional","M0395",1.3,1.45,1.375,1.08,1.45,0.016
"NTT14 Transitional","M0395",1.45,1.6,1.525,1.08,1.51,0.016
"NTT14 Transitional","M0395",1.6,1.75,1.675,1.08,1.41,0.015
"NTT14 Transitional","M0395",1.75,1.9,1.825,1.08,1.27,0.014
"NTT14 Transitional","M0395",1.9,2.05,1.975,1.08,1.34,0.014
"NTT14 Transitional","M0395",2.05,2.2,2.125,1.08,1.17,0.013
"NTT14 Transitional","M0395",2.2,2.35,2.275,1.08,1.35,0.015
"NTT14 Transitional","M0395",2.35,2.5,2.425,1.08,1.28,0.014
"NTT14 Transitional","M0395",2.5,4,3.25,1.17,1.3,0.015
"NTT14 Interior","M0396",0,0.05,0.025,0.66,3.71,0.024
"NTT14 Interior","M0396",0.05,0.1,0.075,0.66,3.25,0.021
"NTT14 Interior","M0396",0.1,0.15,0.125,0.66,2.81,0.019
"NTT14 Interior","M0396",0.15,0.2,0.175,0.68,2.98,0.02
"NTT14 Interior","M0396",0.2,0.25,0.225,0.68,3.81,0.026
"NTT14 Interior","M0396",0.25,0.3,0.275,0.68,3.23,0.022
"NTT14 Interior","M0396",0.3,0.35,0.325,0.73,3.37,0.025
"NTT14 Interior","M0396",0.35,0.4,0.375,0.73,2.78,0.02
"NTT14 Interior","M0396",0.4,0.45,0.425,0.73,2.71,0.02
"NTT14 Interior","M0396",0.45,0.5,0.475,0.73,2.53,0.018
"NTT14 Interior","M0396",0.5,0.6,0.55,0.79,2.5,0.02
"NTT14 Interior","M0396",0.6,0.7,0.65,0.79,2.88,0.023
"NTT14 Interior","M0396",0.7,0.8,0.75,0.79,1.93,0.015
"NTT14 Interior","M0396",0.8,0.9,0.85,0.79,2.14,0.017
"NTT14 Interior","M0396",0.9,1,0.95,0.79,1.93,0.015
"NTT14 Interior","M0396",1,1.15,1.075,1.2,1.61,0.019
"NTT14 Interior","M0396",1.15,1.3,1.225,1.2,1.43,0.017
"NTT14 Interior","M0396",1.3,1.45,1.375,1.2,1.32,0.016
"NTT14 Interior","M0396",1.45,1.6,1.525,1.2,1.57,0.019
"NTT14 Interior","M0396",1.6,1.75,1.675,1.2,1.12,0.013
"NTT14 Interior","M0396",1.75,1.9,1.825,1.2,1.08,0.013
"NTT14 Interior","M0396",1.9,2.05,1.975,1.2,1.3,0.016
"NTT14 Interior","M0396",2.05,2.2,2.125,1.2,1.12,0.013
"NTT14 Interior","M0396",2.2,2.35,2.275,1.2,1.44,0.017
"NTT14 Interior","M0396",2.35,2.5,2.425,1.2,1.25,0.015
"NTT14 Interior","M0396",2.5,4,3.25,1.2,1.3,0.016
"SJL12 Stony Point","M0397",0,0.1,0.05,0.72,4.37,0.031
"SJL12 Stony Point","M0397",0.1,0.3,0.2,0.78,3.42,0.027
"SJL12 Stony Point","M0397",0.3,0.6,0.45,0.82,2.8,0.023
"SJL12 Stony Point","M0397",0.6,1,0.8,0.87,2.37,0.021
"SJL12 Jacks Beach","M0398",0,0.1,0.05,0.77,3.57,0.027
"SJL12 Jacks Beach","M0398",0.1,0.3,0.2,0.71,4.55,0.032
"SJL12 Jacks Beach","M0398",0.3,0.6,0.45,0.56,3.17,0.018
"SJL12 Jacks Beach","M0398",0.6,1,0.8,0.89,2.2,0.019
"SJL12 Yaringa","M0399",0,0.1,0.05,0.52,3.91,0.02
"SJL12 Yaringa","M0399",0.1,0.3,0.2,0.84,2.62,0.022
"SJL12 Yaringa","M0399",0.3,0.6,0.45,0.73,2.2,0.016
"SJL12 Yaringa","M0399",0.6,1,0.8,0.79,1.56,0.012
"PE16 Punta Cancun Fringe","M0400",0,0.1,0.05,0.72,2.33,0.017
"PE16 Punta Cancun Fringe","M0400",0.1,0.25,0.175,0.74,6.07,0.045
"PE16 Punta Cancun Fringe","M0400",0.25,0.4,0.325,0.58,7.44,0.043
"PE16 Punta Cancun Fringe","M0400",0.4,1,0.7,0.83,2.77,0.023
"PE16 Punta Cancun Fringe","M0400",1,1.25,1.125,1.43,0.28,0.004
"PE16 Punta Cancun Mudflat","M0401",0,0.12,0.06,1.26,1.27,0.016
"PE16 Punta Cancun Mudflat","M0401",0.12,0.8,0.46,1.31,0.51,0.007
"PE16 La Salina Mudflat","M0402",0,0.09,0.045,0.92,1.95,0.018
"PE16 La Salina Mudflat","M0402",0.09,1.2,0.645,1.32,0.49,0.006
"PE16 La Salina Fringe","M0403",0,0.09,0.045,1.21,0.72,0.009
"PE16 La Salina Fringe","M0403",0.09,0.46,0.275,1.01,1.42,0.014
"PE16 La Salina Fringe","M0403",0.46,1.21,0.835,0.78,3.39,0.026
"PE16 La Salina Fringe","M0403",1.21,1.47,1.34,1.38,0.35,0.005
"PE16 La Salina Receding/Dead","M0404",0,0.05,0.025,1.07,2.47,0.026
"PE16 La Salina Receding/Dead","M0404",0.05,0.45,0.25,1.07,1.17,0.013
"PE16 La Salina Receding/Dead","M0404",0.45,0.76,0.605,0.62,6.41,0.04
"PE16 La Salina Receding/Dead","M0404",0.76,1.25,1.005,1.44,0.26,0.004
"PE16 Sur Mudflat","M0405",0,0.4,0.2,1.47,0.7,0.01
"PE16 Sur Mudflat","M0405",0.4,1.2,0.8,1.18,0.82,0.01
"PE16 Sur Mudflat","M0405",1.2,1.73,1.465,0.79,6.42,0.051
"PE16 Sur Mudflat","M0405",1.73,2,1.865,1.06,1.2,0.013
"PE16 Sur Upper Mudflat","M0406",0,0.08,0.04,1.22,1.11,0.014
"PE16 Sur Upper Mudflat","M0406",0.08,0.45,0.265,1.38,0.37,0.005
"PE16 Sur Upper Mudflat","M0406",0.45,1.18,0.815,0.75,3.74,0.028
"PE16 Sur Upper Mudflat","M0406",1.18,1.6,1.39,0.72,4.39,0.031
"PE16 Sur Upper Mudflat","M0406",1.6,1.82,1.71,0.82,2.83,0.023
"PE16 Sur Upper Mudflat","M0406",1.82,2.2,2.01,0.97,2.65,0.026
"PE16 Sur Upper Mudflat","M0406",2.2,2.26,2.23,0.65,5.66,0.037
"PE16 Sur Fringe","M0407",0,0.45,0.225,1.34,0.44,0.006
"PE16 Sur Fringe","M0407",0.45,1.63,1.04,1.3,0.52,0.007
"PE16 Sur Fringe","M0407",1.63,2,1.815,1.23,0.68,0.008
"PE16 Norte Fringe","M0408",0,0.09,0.045,0.74,9.61,0.071
"PE16 Norte Fringe","M0408",0.09,0.43,0.26,0.46,11.15,0.051
"PE16 Norte Fringe","M0408",0.43,0.61,0.52,0.47,10.51,0.05
"PE16 Norte Mudflat","M0409",0,0.09,0.045,0.64,3.53,0.023
"PE16 Norte Mudflat","M0409",0.09,0.45,0.27,0.49,17.35,0.084
"PE16 Norte Mudflat","M0409",0.45,1.19,0.82,0.56,13.93,0.079
"PE16 Norte Mudflat","M0409",1.19,1.45,1.32,0.45,11.62,0.052
"PE16 Norte Mudflat","M0409",1.45,1.84,1.645,0.69,4.79,0.033
"PE16 Norte Upper Mudflat","M0410",0,0.49,0.245,1.44,0.6,0.009
"PE16 Norte Upper Mudflat","M0410",0.49,1.97,1.23,0.75,7.29,0.055
"PE16 Norte Upper Mudflat","M0410",1.97,2.1,2.035,0.55,8.09,0.045
"PE16 Camichin Mudflat","M0411",0,0.4,0.2,1.11,1.02,0.011
"PE16 Camichin Mudflat","M0411",0.4,0.8,0.6,1.29,0.55,0.007
"PE16 Camichin Mudflat","M0411",0.8,1.15,0.975,1.24,0.65,0.008
"PE16 Camichan Upper Mudflat","M0412",0,0.4,0.2,1.07,1.18,0.013
"PE16 Camichan Upper Mudflat","M0412",0.4,0.8,0.6,1.15,1.19,0.014
"PE16 Camichan Upper Mudflat","M0412",0.8,1.2,1,1.24,0.78,0.01
"PE16 Camichan Upper Mudflat","M0412",1.2,1.3,1.25,1.64,0.23,0.004
"PE16 Arroyo Toro Mocho Upper  Mudflat","M0413",0,0.4,0.2,0.88,2.29,0.02
"PE16 Arroyo Toro Mocho Upper  Mudflat","M0413",0.4,0.54,0.47,1.51,0.39,0.006
"PE16 Arroyo Toro Mocho Upper  Mudflat","M0413",0.54,0.8,0.67,1.5,0.61,0.009
"PE16 Arroyo Toro Mocho Upper  Mudflat","M0413",0.8,1.2,1,1.35,0.42,0.006
"PE16 Arroyo Toro Mocho Upper  Mudflat","M0413",1.2,1.6,1.4,1.51,0.14,0.002
"PE16 La Concepcion Mudflat 1","M0414",0,0.1,0.05,0.25,37,0.092
"PE16 La Concepcion Mudflat 1","M0414",0.1,0.55,0.325,0.39,32.44,0.128
"PE16 La Concepcion Mudflat 1","M0414",0.55,0.75,0.65,0.95,1.68,0.016
"PE16 La Concepcion Mudflat 1","M0414",0.75,0.9,0.825,0.39,18.35,0.072
"PE16 La Concepcion Mudflat 1","M0414",0.9,1.05,0.975,0.47,10.6,0.05
"PE16 La Concepcion Mudflat 1","M0414",1.05,1.4,1.225,0.56,7.84,0.044
"PE16 La Concepcion Mudflat 1","M0414",1.4,1.8,1.6,0.63,6.27,0.039
"PE16 La Concepcion Mudflat 1","M0414",1.8,2.15,1.975,0.75,7.76,0.058
"PE16 La Concepcion Mudflat 1","M0414",2.15,2.35,2.25,0.68,11.38,0.078
"PE16 La Concepcion Mudflat 1","M0414",2.35,2.55,2.45,0.72,4.27,0.031
"PE16 La Concepcion Mudflat 1","M0414",2.55,2.9,2.725,1.1,1.06,0.012
"PE16 La Concepcion Mudflat 1","M0414",2.9,3,2.95,1.28,0.57,0.007
"PE16 La Concepcion Fringe","M0415",0,0.1,0.05,0.6,7.66,0.046
"PE16 La Concepcion Fringe","M0415",0.1,0.55,0.325,1.1,1.07,0.012
"PE16 La Concepcion Fringe","M0415",0.55,1.05,0.8,0.79,2.51,0.02
"PE16 La Concepcion Fringe","M0415",1.05,1.35,1.2,1.1,1.07,0.012
"PE16 La Concepcion Fringe","M0415",1.35,1.7,1.525,0.7,4.72,0.033
"PE16 La Concepcion Fringe","M0415",1.7,1.85,1.775,1.11,1.02,0.011
"PE16 Las Garzas Mudflat","M0416",0,0.2,0.1,0.54,6.12,0.033
"PE16 Las Garzas Mudflat","M0416",0.2,0.7,0.45,1.39,0.79,0.011
"PE16 Las Garzas Mudflat","M0416",1.05,1.85,1.45,1.4,0.25,0.003
"PE16 Las Garzas Mudflat","M0416",1.85,2.05,1.95,1.29,0.4,0.005
"PE16 Las Garzas Mudflat","M0416",2.05,2.3,2.175,0.58,7.51,0.043
"PE16 Las Garzas Mudflat","M0416",2.3,2.4,2.35,0.92,1.95,0.018
"PE16 Las Garzas Mudflat","M0416",2.4,2.55,2.475,0.62,10.57,0.065
"PE16 Las Garzas Mudflat","M0416",2.55,2.65,2.6,1.55,0.26,0.004
"PE16 La Concepcion Mudflat 2","M0417",0,0.35,0.175,0.18,41.32,0.072
"PE16 La Concepcion Mudflat 2","M0417",0.35,0.45,0.4,0.86,2.44,0.021
"PE16 La Concepcion Mudflat 2","M0417",0.45,0.95,0.7,0.7,4.66,0.033
"PE16 La Concepcion Mudflat 2","M0417",0.95,1.35,1.15,0.88,2.24,0.02
"PE16 La Concepcion Mudflat 2","M0417",1.35,1.55,1.45,0.82,2.8,0.023
"PE16 El Merito Mudflat Core 1","M0418",0,0.75,0.375,1.29,0.55,0.007
"PE16 El Merito Mudflat Core 1","M0418",0.75,2.14,1.445,0.49,10.03,0.049
"PE16 El Merito Mudflat Core 1","M0418",2.14,2.55,2.345,0.54,8.35,0.046
"PE16 El Merito Mudflat Core 2","M0419",0,0.42,0.21,0.83,2.78,0.023
"PE16 El Merito Mudflat Core 2","M0419",0.42,2.05,1.235,0.45,11.42,0.051
"PE16 El Merito Mudflat Core 2","M0419",2.05,2.21,2.13,0.6,7.02,0.042
"PE16 Puerto Gata Fringe Core 1","M0420",0,0.58,0.29,0.47,10.53,0.05
"PE16 Puerto Gata Fringe Core 1","M0420",0.58,0.6,0.59,0.49,10,0.049
"PE16 Puerto Gata Fringe Core 2","M0420",0,0.45,0.225,0.24,22.26,0.054
"PE16 Puerto Gata Fringe Core 2","M0421",0.45,0.54,0.495,0.79,3.27,0.026
"PE16 Puerto Gata Fringe Core 2","M0421",0.54,0.61,0.575,0.54,8.58,0.046
"PE16 Puerto Gata Fringe Core 3","M0421",0,0.51,0.255,0.54,8.59,0.046
"PE16 Puerto Gata Fringe Core 3","M0422",0.51,0.64,0.575,0.6,6.9,0.041
"PE16 Puerto Gata Fringe Core 3","M0422",0.64,0.66,0.65,0.61,6.62,0.04
"PE16 Puerto Gata Mudflat Core 4","M0423",0,0.04,0.02,0.39,13.53,0.053
"PE16 Puerto Gata Mudflat Core 4","M0423",0.04,0.41,0.225,0.26,21.08,0.054
"PE16 Puerto Gata Mudflat Core 4","M0423",0.41,0.5,0.455,0.52,9.1,0.047
"PE16 Puerto Gata Mudflat Core 4","M0423",0.5,0.78,0.64,0.55,8.24,0.045
"PE16 Puerto Gata Mudflat Core 5","M0424",0,0.08,0.04,0.45,11.41,0.051
"PE16 Puerto Gata Mudflat Core 5","M0424",0.08,0.36,0.22,0.29,18.92,0.055
"PE16 Puerto Gata Mudflat Core 5","M0424",0.36,0.79,0.575,0.49,10.04,0.049
"PE16 Puerto Gata Mudflat Core 5","M0424",0.79,0.81,0.8,0.61,6.66,0.041
"PE16 Puerto Gata Mudflat Core 6","M0425",0,0.13,0.065,0.46,10.87,0.05
"PE16 Puerto Gata Mudflat Core 6","M0425",0.13,0.22,0.175,0.36,15.2,0.054
"PE16 Puerto Gata Mudflat Core 6","M0425",0.22,0.61,0.415,0.5,9.82,0.049
"PE16 Puerto Gata Mudflat Core 7","M0426",0,0.09,0.045,0.56,7.9,0.044
"PE16 Puerto Gata Mudflat Core 7","M0426",0.09,0.35,0.22,0.31,17.75,0.055
"PE16 Puerto Gata Mudflat Core 7","M0426",0.35,0.5,0.425,0.46,10.88,0.05
"PE16 San Gabriel Mudflat Core 1","M0427",0,0.5,0.25,0.66,5.48,0.036
"PE16 San Gabriel Mudflat Core 1","M0427",0.5,0.91,0.705,0.46,10.9,0.05
"PE16 San Gabriel Mudflat Core 1","M0427",0.91,1.23,1.07,0.58,7.37,0.043
"PE16 San Gabriel Mudflat Core 1","M0427",1.23,1.26,1.245,0.51,9.29,0.048
"PE16 San Gabriel Mudflat Core 2","M0428",0,0.53,0.265,0.6,6.82,0.041
"PE16 San Gabriel Mudflat Core 2","M0428",0.53,0.93,0.73,0.52,8.99,0.047
"PE16 San Gabriel Mudflat Core 2","M0428",0.93,1.14,1.035,0.55,8.23,0.045
"PE16 San Gabriel Mudflat Core 2","M0428",1.14,1.27,1.205,0.6,6.83,0.041
"PE16 San Gabriel Mudflat Core 2","M0428",1.27,1.38,1.325,0.53,8.67,0.046
"PE16 San Jose Mudflat Core 1","M0429",0,0.08,0.04,0.26,20.82,0.054
"PE16 San Jose Mudflat Core 1","M0429",0.08,1.28,0.68,0.25,21.3,0.054
"PE16 San Jose Mudflat Core 1","M0429",1.28,1.5,1.39,0.27,20,0.054
"PE16 San Jose Mudflat Core 1","M0429",1.5,1.93,1.715,0.75,3.73,0.028
"JGCB11 SA1","M0430",0,0.3,0.15,0.53,8.82,0.047
"JGCB11 SA1","M0430",0.3,0.6,0.45,0.54,8.5,0.046
"JGCB11 SA2","M0431",0,0.3,0.15,0.45,11.22,0.051
"JGCB11 SA2","M0431",0.3,0.6,0.45,0.48,10.42,0.05
"JGCB11 SA3","M0432",0,0.3,0.15,0.83,2.68,0.022
"JGCB11 SA3","M0432",0.3,0.6,0.45,0.84,2.61,0.022
"JGCB11 SA4","M0433",0,0.3,0.15,0.7,4.63,0.033
"JGCB11 SA4","M0433",0.3,0.6,0.45,0.79,3.17,0.025
"JGCB11 SA5","M0434",0,0.3,0.15,0.78,3.32,0.026
"JGCB11 SA5","M0434",0.3,0.6,0.45,0.81,2.92,0.024
